algorithm,array_size,depth,runtime
mine,2,1,4
yaroslavskiy,2,1,0
mine,2,1,1
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,1
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,2,1,0
yaroslavskiy,2,1,0
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,1
mine,4,1,0
yaroslavskiy,4,1,1
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,1
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,1
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,4,1,0
yaroslavskiy,4,1,0
mine,8,1,2
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,0
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,0
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,2
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,0
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,1
mine,8,1,1
yaroslavskiy,8,1,0
mine,8,1,1
yaroslavskiy,8,1,1
